,Datetime,Tweet Id,Text,Username
101,2021-11-24 03:14:04+00:00,1463345143667298310,@Real_Lets_Talk i only struggle to type while on acid or just-about blackout drunk (but interestingly the typing comes back once i no longer remember what im doing),endotericist
102,2021-11-24 03:13:03+00:00,1463344888477454348,@bunnygirlpilled thank you queen i knew u'd understand me,endotericist
103,2021-11-24 03:11:51+00:00,1463344585191550983,@ebeggin1 shrekillionaire crimeset,endotericist
104,2021-11-23 10:01:31+00:00,1463085295679598594,@karch_priv salmillionaire crimeset,endotericist
105,2021-11-23 10:00:57+00:00,1463085152364425220,@HallowXIII L for you tbh,endotericist
106,2021-11-23 09:56:46+00:00,1463084097610256390,@beybladesex i want girls now,endotericist
107,2021-11-23 09:50:05+00:00,1463082416499683334,@BlueCollarMage hell yeah we are,endotericist
108,2021-11-23 09:24:03+00:00,1463075864623472644,"@nanasickomode thank u, i do not try, my life is naturally an art piece",endotericist
109,2021-11-23 09:12:44+00:00,1463073017446076418,some of u have already told me to sleep. but consider: girls....,endotericist
110,2021-11-23 09:10:44+00:00,1463072513563316228,"i went to go google ""salmon"" and forgot what i was going to search for and stared at the url bar for a good solid minute and all i could think was ""shrigma male? shrigzillionaire mindset? shrekillionaire grindset?""

i have been awake for 35 hours",endotericist
111,2021-11-22 09:19:19+00:00,1462712286850600961,@terminallylizzy whatcha readin babe,endotericist
112,2021-11-22 09:18:39+00:00,1462712118566801409,@pipebomb69 watch made in abyss,endotericist
113,2021-11-22 09:03:45+00:00,1462708368242401280,stolen,endotericist
114,2021-11-22 09:03:37+00:00,1462708333895249921,https://t.co/q14YJrPh0z,endotericist
115,2021-11-22 09:01:41+00:00,1462707849302216706,@fish_mode 🥰,endotericist
116,2021-11-22 06:03:49+00:00,1462663088075784193,real repudiation and disavowal hours who tf up,endotericist
117,2021-11-22 05:59:27+00:00,1462661988220227585,"@Mashu_Respecter @ebeggin1 mostly because right-wingers are almost exclusively groomkept gasbossed gamergated into their ""beliefs"" and have no strong aliefs underlying them, they're just rolling with inertia rather than doing earnest soul-searching and analysis",endotericist
118,2021-11-22 05:24:22+00:00,1462653157637382147,@NLRG_ self-acceptance,endotericist
119,2021-11-22 05:21:22+00:00,1462652405087043588,@Mashu_Respecter @ebeggin1 in what sense? aside from posting about how j*rnos get the wall (which i have long since eased up on) i feel like i am not especially confrontational,endotericist
120,2021-11-22 05:20:07+00:00,1462652089461448714,@ebeggin1 @Mashu_Respecter emoji representation of this https://t.co/sUmbrUHNos,endotericist
121,2021-11-22 05:18:11+00:00,1462651601928089611,@ebeggin1 @Mashu_Respecter 🌊🐴,endotericist
122,2021-11-22 05:15:57+00:00,1462651041673973760,"@Mashu_Respecter @ebeggin1 i mean, was it really /that/ obvious? h-how?",endotericist
123,2021-11-22 05:14:35+00:00,1462650695069306882,"@ebeggin1 we all saw it coming, let's be real",endotericist
124,2021-11-22 03:58:06+00:00,1462631450965000195,@deadgavin1 what do you mean?,endotericist
125,2021-11-21 14:26:27+00:00,1462427189882720262,@tacticalcunny 🥰🥰,endotericist
126,2021-11-21 06:37:34+00:00,1462309190861348868,"@deadgavin1 how about gun owners of america instead, they're sending him a new ar-15 apparently",endotericist
127,2021-11-21 05:22:11+00:00,1462290221081366537,@deadmikaela uncritical support,endotericist
128,2021-11-21 05:09:39+00:00,1462287068562788353,"@perfectsIumbers right back atcha, primmie~",endotericist
129,2021-11-21 05:08:20+00:00,1462286737502191623,"@perfectsIumbers why would you interact with """"""atheopagans"""""" literally ever https://t.co/Nevx38e7Wb",endotericist
130,2021-11-21 04:35:06+00:00,1462278372852068352,extraordinary https://t.co/qpyKks2aYo https://t.co/NE60pQ9ASG,endotericist
131,2021-11-21 04:33:14+00:00,1462277902028869633,@avaposting_ ooh! what's it like??,endotericist
132,2021-11-21 04:33:02+00:00,1462277853513347074,@deadmikaela ghhh,endotericist
133,2021-11-21 02:58:49+00:00,1462254143179874308,@cartelwife link?,endotericist
134,2021-11-21 01:16:40+00:00,1462228435674169349,https://t.co/SqWyKruxKz,endotericist
135,2021-11-20 02:24:35+00:00,1461883139349831686,@avaposting_ however you want :3,endotericist
136,2021-11-20 02:20:52+00:00,1461882202996629515,@avaposting_ ping me tomorrow and i'll get you stuff,endotericist
137,2021-11-20 01:03:49+00:00,1461862812171464709,@EBCMan1 don't let my facts and logic dash your chuuni manipulationmaxxing so easily!!,endotericist
138,2021-11-20 01:02:24+00:00,1461862458105024516,@shotasexfan @terminallylizzy ououusugugAaauouguigj,endotericist
139,2021-11-20 00:41:16+00:00,1461857136900599808,@EBCMan1 yep it was all you oomfie,endotericist
140,2021-11-20 00:16:07+00:00,1461850809319129093,@shotasexfan @terminallylizzy thanks,endotericist
141,2021-11-19 23:13:27+00:00,1461835040799690754,@shotasexfan @terminallylizzy what,endotericist
142,2021-11-19 23:13:08+00:00,1461834960306728962,@xWYLRaz0rbl4d3x howdy,endotericist
143,2021-11-19 23:10:35+00:00,1461834318016176128,"@perfectsIumbers thats the healthy approach
i am doing my best to not have any kind of Take whatseover t b h",endotericist
